SchoolCode:7777, 120363414428672416@g.us
SchoolCode:15048, 120363400387328767@g.us
SchoolCode:PLUS2-4003, 120363300034762443@g.us
SchoolCode:1127, 120363260532535208@g.us
SchoolCode:2047, 120363373485061701@g.us
SchoolCode:1314, 120363285489947252@g.us
SchoolCode:20011, 120363421457864346@g.us
SchoolCode:15043, 120363401436460954@g.us
SchoolCode:L1130, 120363405044197486@g.us
SchoolCode:15052, 120363418288696823@g.us
SchoolCode:1260, 120363295839403284@g.us
SchoolCode:L1130, 120363405044197486@g.us
SchoolCode:15049, 120363418361759332@g.us
SchoolCode:PLUS2-4011, 120363348910601296@g.us
SchoolCode:1257, 120363292634511316@g.us
SchoolCode:1101, 120363422276407819@g.us
SchoolCode:1101, 120363422276407819@g.us
